Filename,Exposure,Moon_XC,Moon_YC,Moon_Radius,Mean_SB
DSC_3665-Position4-cal.fits,0.01,4162.0,2748.0,640.0,0.01006217859685421
DSC_3656-Position4-cal.fits,0.01,4303.0,2671.0,678.0,0.010105504654347897
DSC_3684-Position4-cal.fits,0.02,4632.0,2646.0,676.0,0.5267702341079712
DSC_3654-Position4-cal.fits,0.0025,4155.0,2754.0,640.0,0.003226436907425523
DSC_3693-Position4-cal.fits,0.02,4636.0,2651.0,676.0,0.4868600368499756
DSC_3699-Position4-cal.fits,0.0025,4640.0,2649.0,677.0,0.07188226282596588
DSC_3756-Position4-cal.fits,0.02,4662.0,2523.0,676.0,0.042681705206632614
DSC_3945-Position3-cal.fits,0.02,4202.0,2413.0,675.0,0.0058171749114990234
DSC_3776-Position4-cal.fits,0.07692,4697.0,2356.0,674.0,0.0743713304400444
DSC_3815-Position1-cal.fits,0.00125,4756.0,2043.0,675.0,0.0006822781288065016
DSC_3657-Position4-cal.fits,0.02,4156.0,2753.0,642.0,0.01140087191015482
DSC_3916-Position3-cal.fits,0.005,4295.0,2506.0,571.0,0.00146028446033597
DSC_3947-Position3-cal.fits,0.07692,4203.0,2409.0,675.0,0.02271953597664833
DSC_3812-Position1-cal.fits,0.07692,4752.0,2055.0,675.0,0.02700781263411045
DSC_3939-Position3-cal.fits,0.16667,4199.0,2432.0,675.0,0.042652204632759094
DSC_3720-Position4-cal.fits,0.02,4638.0,2650.0,676.0,0.36332520842552185
DSC_3689-Position4-cal.fits,0.00125,4370.0,2713.0,513.0,0.043950293213129044
DSC_3713-Position4-cal.fits,0.07692,4638.0,2650.0,671.0,1.3415405750274658
DSC_3674-Position4-cal.fits,0.01,4170.0,2742.0,642.0,0.009982985444366932
DSC_3740-Position4-cal.fits,0.07692,4655.0,2567.0,674.0,0.25919055938720703
DSC_3848-Position1-cal.fits,0.07692,4772.0,1957.0,675.0,0.026851780712604523
DSC_3790-Position4-cal.fits,0.005,4703.0,2316.0,676.0,0.006350185722112656
DSC_3886-Position2-cal.fits,0.33333,4848.0,1552.0,669.0,0.08226431906223297
DSC_3833-Position1-cal.fits,0.00125,4767.0,1993.0,676.0,0.0006838468252681196
DSC_3884-Position2-cal.fits,0.07692,4848.0,1562.0,675.0,0.027926789596676826
DSC_3717-Position4-cal.fits,0.0025,4644.0,2647.0,679.0,0.059137940406799316
DSC_3751-Position4-cal.fits,0.33333,4660.0,2536.0,672.0,0.5060051083564758
DSC_3672-Position4-cal.fits,0.0025,4167.0,2743.0,640.0,0.003215750912204385
DSC_3775-Position4-cal.fits,0.04,4695.0,2357.0,675.0,0.043982602655887604
DSC_3637-Position4-cal.fits,0.005,4144.0,2764.0,641.0,0.005783770699054003
DSC_3757-Position4-cal.fits,0.04,4664.0,2521.0,675.0,0.07635832577943802
DSC_3793-Position4-cal.fits,0.04,4706.0,2309.0,675.0,0.044293567538261414
DSC_3926-Position3-cal.fits,0.01,4192.0,2463.0,675.0,0.002834977814927697
DSC_3646-Position4-cal.fits,0.005,4147.0,2759.0,640.0,0.006147688254714012
DSC_3792-Position4-cal.fits,0.02,4704.0,2311.0,676.0,0.02396993525326252
DSC_3946-Position3-cal.fits,0.04,4203.0,2412.0,675.0,0.011447284370660782
DSC_3791-Position4-cal.fits,0.01,4703.0,2314.0,676.0,0.012398311868309975
DSC_3746-Position4-cal.fits,0.01,4657.0,2549.0,676.0,0.03396368399262428
DSC_3888-Position2-cal.fits,0.0025,4854.0,1546.0,678.0,0.0011439515510573983
DSC_3686-Position4-cal.fits,0.07692,nan,nan,nan,1.6986865997314453
DSC_3651-Position4-cal.fits,0.16667,4149.0,2757.0,644.0,0.022502031177282333
DSC_3753-Position4-cal.fits,0.0025,4665.0,2529.0,678.0,0.007970809936523438
DSC_3671-Position4-cal.fits,0.00125,4166.0,2743.0,640.0,0.0017514432547613978
DSC_3641-Position4-cal.fits,0.07692,4144.0,2762.0,644.0,0.01631724275648594
DSC_3922-Position3-cal.fits,0.33333,4190.0,2476.0,672.0,0.06976962834596634
